time,BTCUSDT,ETHUSDT,BTCUPUSDT,BTCDOWNUSDT
1669779208.0364573,-1.4710723823748018,-0.0161549789410276,-0.0004523394103487,1.1243865342965934e-05
1669779266.2682462,-1.3302012783410682,-0.0752166485818853,-0.0006182190294397,9.445012949701307e-06
1669779325.4035234,-1.5429030556787304,-0.036864628028945,-0.000642594433534,7.102359528532204e-06
1669779385.5264988,-1.4839584947569049,-0.0156346221147134,-0.000632037915275,7.218538295480225e-06
1669779445.494694,-1.1159248627868923,0.0133404048148855,-0.000266808096302,3.768664360309499e-06
1669779505.6375377,-0.8616153941485196,-0.0106413325405504,-0.0002327791493269,6.717341166349789e-06
1669779565.551497,-0.9503628319473578,0.0143539170264348,-0.00010014360716,1.3018668929763126e-06
1669779625.7162898,-1.1953834906016283,-0.0445443236210762,-0.0003324203255282,7.04731090124252e-06
1669779686.4111688,-1.6657088962715612,-0.059313076425,-0.0003624688003759,5.799500806039433e-06
1669779745.6551523,-1.4863956605720836,-0.064479121319599,-0.0004051044271372,8.338399458544754e-06
1669779806.4152596,-1.683999660016556,-0.0648451784644,-0.000427912345195,9.71031860247522e-06
1669779865.9274664,-1.5869013281354067,-0.0635163809863591,-0.0003024589570782,9.544260423400362e-06
1669779925.688381,-1.1927528305043344,-0.065260045440201,-0.0005689337294788,8.600939322140625e-06
1669779985.7310758,-1.3666941542782254,-0.0522961204535417,-0.000566263724659,9.992889258689765e-06
1669780045.6004994,-1.4033874874486396,-0.0848513263059828,-0.000400872407744,6.915049033597571e-06
1669823149.0679448,-0.2398396166711468,-0.01001391331129,-6.345101283324879e-05,1.3874003212169932e-06
1669823208.7504642,-0.2369059166252541,-0.0098608752105728,-6.274319596900973e-05,1.3685330340882042e-06
1669823269.433409,-0.2340677860370983,-0.0096619430844677,-6.33401226738839e-05,1.3546480147960983e-06
1669823328.7679553,-0.2297227914371803,-0.0092534625012273,-6.387258813319347e-05,1.3343393628567528e-06
1669823388.6328695,-0.2252578270118536,-0.0089028480386779,-6.49904140673964e-05,1.3077650488953418e-06
1669823448.791931,-0.2212912944601642,-0.008583766992114,-6.624706132937268e-05,1.287453784305706e-06
1669823508.8284495,-0.2182353140703549,-0.0082819182661441,-6.749031807033292e-05,1.2835218904584249e-06
1669823568.7218845,-0.2153566124009183,-0.0079911256687631,-6.846428265203668e-05,1.2676604710404537e-06
1669823628.7615995,-0.2119162515197566,-0.0076445610973255,-6.985887616965685e-05,1.243408695265274e-06
1669823688.91821,-0.2088616898945944,-0.0073311427129479,-7.082320223772769e-05,1.213872251528394e-06
1669823748.8710296,-0.2078406988710067,-0.0071841796717405,-7.136535486077643e-05,1.2020226331272029e-06
1669823809.681141,-0.2073226096516257,-0.0068915302396996,-7.180834977540435e-05,1.1920115001138118e-06
1669823868.9708524,-0.2065969337040245,-0.006536693708905,-7.290644516047112e-05,1.1679039892113765e-06
1669823929.1665912,-0.2049664842104123,-0.0063722034547187,-7.249113337094327e-05,1.1428652093134367e-06
1669823988.702643,-0.201298766195447,-0.0061163390778692,-7.109377234497867e-05,1.1048224282951495e-06
1669824048.8974545,-0.1975393466241878,-0.0057725188290561,-6.929041185037658e-05,1.0714895449479675e-06
1669824108.68734,-0.1939648213840567,-0.0054296442148909,-6.60919990085695e-05,1.035754607805066e-06
1669824168.756817,-0.1908913206371136,-0.0050583118154605,-6.276792464973658e-05,1.0124261073223214e-06
1669824228.7895288,-0.1872589321706426,-0.0047875791015566,-5.971260492739367e-05,9.891138589385094e-07
1669824288.8293471,-0.1839738624853729,-0.004599565637365,-5.777778507863617e-05,9.657471806813323e-07
1669824349.458053,-0.1806640799549201,-0.004492777821753,-5.694687249466141e-05,9.396418623048104e-07
1669824408.7568378,-0.1761320472145557,-0.0042409670931632,-5.69438979256169e-05,9.099020494820616e-07
1669824469.4855103,-0.1710448297759477,-0.0039582098336514,-5.612370093500496e-05,8.797836432471464e-07
1669824528.789405,-0.1663284725221142,-0.003710779975279,-5.527935832224877e-05,8.492302652609512e-07
1669824588.7981749,-0.1626019131048909,-0.0033830619424674,-5.416826155088735e-05,8.211838431126672e-07
1669824648.976483,-0.1567461451480872,-0.0029233239940769,-5.3060396719863005e-05,7.932129781145975e-07
1669824708.866199,-0.1478468081317503,-0.0018588724053719,-5.041659338602391e-05,7.59816831578148e-07
1669824768.8296535,-0.1455037466630983,-0.001512830352265,-4.944377374235306e-05,7.418890938404966e-07
1669824828.8054245,-0.1418908116032215,-0.0008553746099917,-4.805250861850476e-05,7.206178031968412e-07
1669824889.5697994,-0.1367064147588872,-5.538724387235822e-05,-4.640988344337484e-05,6.996566455258869e-07
1669824948.902928,-0.1307772885143783,0.0007531215257932,-4.458081588520949e-05,6.760481842694545e-07
1669825009.7506697,-0.1229683329851085,0.0017662072940227,-4.2393652077121336e-05,6.589494413456055e-07
1669825068.9615214,-0.1150698254070327,0.0030040997331342,-3.8053606909953015e-05,6.219514799731394e-07
1669825128.7866418,-0.1097448068797209,0.0040859460918776,-3.401736152007217e-05,6.070469271702157e-07
1669825188.7601042,-0.1042822012336859,0.0052395408508802,-2.942998110369843e-05,5.838375084069535e-07
1669825248.7832434,-0.1002889822295451,0.0062172102565004,-2.5957780939784264e-05,5.543999388462234e-07
1669825308.7427447,-0.095986397965647,0.0071319560885213,-2.2898554007789263e-05,5.318788959346185e-07
1669825368.7657044,-0.0922732380760824,0.0078968254027928,-1.9587789822907595e-05,5.074881645691676e-07
1669825429.4359405,-0.0885463745163781,0.0085907593377228,-1.6116311257983424e-05,4.924381540894857e-07
1669825488.8587642,-0.0831474753364791,0.0092727461130639,-1.2510254051661336e-05,4.809422013113669e-07
1669825550.0210335,-0.0762032242190674,0.0101018435879044,-8.528389297677176e-06,4.543660144789913e-07
1669825608.8343823,-0.0716223793516743,0.0106487951995678,-4.719261888440503e-06,4.436919681021501e-07
1669825668.898554,-0.0668467853510605,0.0113008919844609,-9.761429825075908e-07,4.221830836943724e-07
1669825728.8352604,-0.0621436334467161,0.0120794786596794,1.2485088782739275e-06,4.059142230315184e-07
1669825788.8709826,-0.0599084504639863,0.012706899075898,2.220017806358803e-06,3.991154804120309e-07
1669825848.8762722,-0.0573156772176366,0.0133999495762549,3.330371692910405e-06,3.96212586062615e-07
1669825908.9014928,-0.0527343039259496,0.014172138673839,4.722104520350955e-06,3.917700090280732e-07
1669825969.6559503,-0.0480369150194019,0.0148122656833894,6.086586710826505e-06,3.769562811565233e-07
1669826028.8269548,-0.0447063465273424,0.0154273378582869,6.939108393379476e-06,3.617461286993979e-07
1669826089.578277,-0.0406678262648037,0.0162589007707916,8.441207757668783e-06,3.563964509004931e-07
1669826148.770079,-0.0368928958760416,0.0170845372228601,1.068862479819085e-05,3.480197759895898e-07
1669826208.8587048,-0.0348170446517332,0.017753161592412,1.3322575899844206e-05,3.39410037836959e-07
1669826268.6846318,-0.0332518741409927,0.018384570008362,1.513338500438104e-05,3.413260782457573e-07
1669826328.8597312,-0.0310736403536775,0.0191010191602399,1.6655201524961356e-05,3.438877671981809e-07
1669826388.7498183,-0.0305994331583155,0.0196816348647778,1.7770127088050527e-05,3.4457194671320056e-07
1669826448.9957447,-0.0266523911566713,0.0206296133565606,1.87419520696551e-05,3.298866070434617e-07
1669826509.3650134,-0.0283654077812696,0.0207500056160985,1.7078819507580518e-05,3.244099930364898e-07
1669826568.8537016,-0.0280473298453036,0.0210855117273331,1.652851809461095e-05,3.3652948681707344e-07
1669826629.8419745,-0.0324577505975568,0.0210056412930161,1.4188535803376368e-05,3.642122079601856e-07
1669826688.8674018,-0.0385108118710678,0.0207638549409134,1.0668856970565552e-05,3.930286500742709e-07
1669826748.887751,-0.0438377656828709,0.0205721522780993,7.613714043462218e-06,4.228859950100849e-07
1669826808.7062538,-0.0513919029436292,0.0202929521979046,4.134015339500542e-06,4.6074719682815553e-07
1669826868.70928,-0.0594425993697305,0.0198198749291999,-3.143505298269601e-07,5.103570484913329e-07
1669826928.8599553,-0.0642919283018337,0.0196600397904767,-3.919810888380292e-06,5.518072058486072e-07
1669826988.833871,-0.07034618145655,0.0192825777850365,-7.101233859471122e-06,6.014357670797324e-07
1669827049.609022,-0.0750634713019656,0.0191055520929787,-9.58956462788112e-06,6.452084296847647e-07
1669827108.8910096,-0.0802165681920721,0.0189086121638032,-1.1664201497285297e-05,6.811014626402854e-07
1669827169.5938823,-0.0858285071745456,0.0187386610146351,-1.3609155950368218e-05,7.193025473792603e-07
1669827228.8534434,-0.0921123664341192,0.0185957780608584,-1.556317882700113e-05,7.58144044548777e-07
1669827288.8534665,-0.0989855186284601,0.018578051937606,-1.8346290959333213e-05,7.983324612009874e-07
1669827349.0636623,-0.1073347602267165,0.0184403680802535,-2.277987105080654e-05,8.357209985601339e-07
1669827408.8013546,-0.11309208090222,0.0184841838221878,-2.7098267164564465e-05,8.645866256216964e-07
1669827468.8363218,-0.1175334928257165,0.0185965284189678,-3.0569059603284884e-05,9.027600090317752e-07
1669827529.069543,-0.1223067614225508,0.0186933491526784,-3.402998440295363e-05,9.355424249043908e-07
1669827589.67514,-0.1248117232483525,0.0189039551209779,-3.692792150313862e-05,9.449970166020472e-07
1669827648.9299817,-0.1291570734449851,0.0189160156574122,-3.915495501948113e-05,9.5716492655988e-07
1669827709.64307,-0.1309056771930945,0.0192350078820413,-4.137436893238071e-05,9.567054606212557e-07
1669827768.846134,-0.132555862640513,0.0195703259634057,-4.389118023965821e-05,9.660933475752938e-07
1669827829.3792694,-0.134293181864239,0.0198976577225431,-4.514178022991945e-05,9.65515887599302e-07
1669827889.1037767,-0.136622307117128,0.0200121719333675,-4.695475537014946e-05,9.64687345304113e-07
1669827948.9998736,-0.1381565201000125,0.0201278205883276,-4.876262924137615e-05,9.696773010385268e-07
1669828008.9072492,-0.1400246827833974,0.0201389489069854,-5.126649401420531e-05,9.796927598026878e-07
1669828069.0575786,-0.1411296571441913,0.0202803023276363,-5.306750249007595e-05,1.0037990630595112e-06
1669828129.4699943,-0.1429251453210785,0.020407489903698,-5.443570653734095e-05,1.0250115279203165e-06
1669828189.1060462,-0.1426726481058708,0.0206029199676389,-5.530579015839761e-05,1.0288314981582028e-06
1669828250.027567,-0.1471356552136562,0.0203014117804383,-5.594639438269594e-05,1.0419946026654503e-06
1669828308.884447,-0.1484071927550931,0.0203847682900166,-5.527695853991135e-05,1.052080581166592e-06
1669828368.7603128,-0.1516141376630089,0.0204521602344102,-5.582650654353636e-05,1.060941362826456e-06
1669828428.9364784,-0.1509273686089175,0.0206559310413315,-5.582593798668601e-05,1.0573223451367226e-06
1669828488.9568815,-0.1479079274200209,0.0210062508800601,-5.499180443621325e-05,1.0478253110681694e-06
1669828549.0562737,-0.1460303045509026,0.0213433382805429,-5.388206633379853e-05,1.0386578548886071e-06
1669828608.8881693,-0.1447026206319015,0.0215397442777229,-5.34675962209251e-05,1.0127282688737783e-06
1669828669.4233189,-0.1433939578999782,0.0217760704802937,-5.3463571105561184e-05,9.93170470742482e-07
1669828728.995978,-0.1435254667688496,0.0218494504136411,-5.347031508825358e-05,9.73001869381902e-07
1669828789.6183388,-0.1444316087208062,0.0219005217290202,-5.454594217937484e-05,9.434385805581984e-07
1669828848.9627442,-0.1483404560521355,0.0217140441478663,-5.527129783858732e-05,9.304944309303408e-07
1669828909.178907,-0.1510770418446229,0.0214992492680141,-5.678326663026983e-05,9.17748108736364e-07
1669828968.8257911,-0.1532741631688109,0.0214166984074657,-5.846138181269504e-05,9.1374789051889e-07
1669829028.8456843,-0.1582633134863297,0.0210391228493984,-6.09604347316145e-05,9.305456249905288e-07
1669829089.1375723,-0.1710447356261392,0.0199583799053517,-6.538213992233345e-05,9.58054986238176e-07
1669829148.8336668,-0.1847123217808892,0.0185719627235193,-6.901436507830469e-05,1.0201713638375754e-06
1669829209.086671,-0.1974200330160952,0.017319035110572,-7.219330558071053e-05,1.074803853342286e-06
1669829268.9009075,-0.2100720994397557,0.0158483772391531,-7.623359232850779e-05,1.1478731001313237e-06
1669829572.351205,-0.2750816645400618,0.0083388948224429,-9.708495719846824e-05,1.4730001466993473e-06
1669829628.8047678,-0.2906067973026449,0.0066912449069349,-0.000102833354432,1.5596883593095358e-06
1669829688.8936102,-0.3030979242242261,0.005311307149251,-0.0001079647827607,1.6412358739587393e-06
1669829748.9392672,-0.3160600806164442,0.0040485135728803,-0.0001126825662039,1.7084134848425185e-06
1669829809.0039372,-0.3274183350824317,0.0030151246595611,-0.0001167045457096,1.7743482948169863e-06
1669829869.709199,-0.3389171564334796,0.0018253863463786,-0.000119853116599,1.82291456668211e-06
1669829928.850143,-0.3491338656083125,0.0005220493985191,-0.0001225259518824,1.8532483051011909e-06
1669829989.649847,-0.3600946532805616,-0.0008068812996009,-0.0001255491295208,1.913551710129848e-06
1669830048.952725,-0.3705078132714666,-0.0021151911232468,-0.0001286383706385,1.9779852253612774e-06
1669830109.0176237,-0.3790452216755317,-0.0031044156210819,-0.0001311364113229,2.0509509034057955e-06
1669830168.9076896,-0.3838279256724192,-0.0036620825686899,-0.0001323924062115,2.0938025785029127e-06
1669830228.9609733,-0.3904789343565144,-0.0043080856197883,-0.0001330795050195,2.1365452046368543e-06
