Time,Price,Price Change,RSI,State,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668370280.825662,2.725,0.004,52.08758933,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370341.6742983,2.725,0.0,52.08758933,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370401.8533397,2.724,-0.0009999999999998,50.72374617,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370461.57594,2.725,0.0009999999999998,52.07512117,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370522.6866395,2.725,0.0,52.07512117,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370582.9635603,2.725,0.0,52.07512117,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370642.8178174,2.723,-0.0020000000000002,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370704.2910268,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370763.4844704,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370823.5550172,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370884.5395584,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370944.5257597,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371004.2813454,2.727,0.004,54.95646688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371065.7866151,2.727,0.0,54.95646688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371125.7959907,2.726,-0.0009999999999998,53.21799688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371186.0963364,2.726,0.0,53.21799688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371246.6328628,2.724,-0.0019999999999997,49.8233398,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371306.4268937,2.724,0.0,49.8233398,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371366.4211855,2.725,0.0009999999999998,51.64200955,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371427.38685,2.725,0.0,51.64200955,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371487.2362916,2.724,-0.0009999999999998,49.82992461,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371547.2291994,2.728,0.004,56.41758739,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371608.1316185,2.729,0.0009999999999998,57.80278089,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371668.1896052,2.729,0.0,57.80278089,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371728.217692,2.729,0.0,57.80278089,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371789.056777,2.73,0.0009999999999998,59.19931428,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371849.3244565,2.727,-0.0030000000000001,53.48094137,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371909.1980011,2.727,0.0,53.48094137,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371970.152402,2.727,0.0,53.48094137,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372030.1366007,2.727,0.0,53.48094137,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372090.1647074,2.727,0.0,53.48094137,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372150.8184786,2.727,0.0,53.48094137,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372212.040534,2.725,-0.0019999999999997,49.76429086,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372271.3059256,2.722,-0.0030000000000001,44.74156168,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372331.9921112,2.722,0.0,44.74156168,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372392.101669,2.716,-0.0059999999999997,36.58457089,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372452.144888,2.716,0.0,36.58457089,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372512.8343246,2.719,0.0029999999999996,42.51043691,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372572.8451838,2.713,-0.0059999999999997,35.38801394,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668372632.7411146,2.709,-0.004,32.82504658,-1.0,1.0,0.0,1000.0,0.0,1000.0
1668372694.574389,2.7,-0.0089999999999998,26.27718299,-1.0,1.0,0.0,1000.0,0.0,1000.0
1668372753.6025522,2.705,0.0049999999999998,33.37782649,2.0,0.0,1.0,0.0,369.68576709796673,1000.0
1668372814.0399013,2.704,-0.0009999999999998,34.45072781,2.0,0.0,1.0,0.0,369.68576709796673,999.6303142329022
1668372874.8941758,2.704,0.0,35.16472868,2.0,0.0,1.0,0.0,369.68576709796673,999.6303142329022
1668372934.9166665,2.704,0.0,35.16472868,2.0,0.0,1.0,0.0,369.68576709796673,999.6303142329022
1668372995.249436,2.699,-0.0050000000000003,31.35195711,-1.0,1.0,0.0,997.781885397412,0.0,997.781885397412
1668373055.697859,2.703,0.004,37.29438058,2.0,0.0,1.0,0.0,369.138692340885,997.781885397412
1668373115.5246232,2.7,-0.0029999999999996,32.94070907,-1.0,1.0,0.0,996.6744693203894,0.0,996.6744693203894
