Time,Price,Price Change,RSI,State,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668397795.9409232,16196.94,10.94000000000051,64.07342225,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397855.9952264,16184.85,-12.090000000000146,58.70489555,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397915.9843445,16177.43,-7.420000000000073,54.56646435,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397975.7126117,16147.79,-29.63999999999941,41.99004929,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398035.811613,16151.44,3.649999999999636,43.1561566,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398095.902555,16150.2,-1.2399999999997815,42.61009029,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398155.8444395,16140.26,-9.94000000000051,38.62079912,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398216.1690311,16148.13,7.869999999998981,43.8722325,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398275.8648818,16147.96,-0.1700000000000727,43.93141108,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398335.9373972,16129.52,-18.43999999999869,37.50127952,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398395.8904586,16144.7,15.180000000000293,44.11579596,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398455.8193698,16135.36,-9.340000000000146,39.92583206,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398515.7915816,16145.63,10.269999999998618,44.9742588,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398575.972555,16139.47,-6.159999999999855,41.62917481,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398636.5978158,16140.72,1.25,42.75803766,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398695.8397524,16123.7,-17.019999999998618,35.99177365,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398755.9343982,16127.9,4.199999999998909,38.52742995,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398815.7184048,16127.44,-0.4599999999991269,38.5162522,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398875.994272,16114.2,-13.239999999999782,33.30331013,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398935.9627123,16111.98,-2.220000000001164,32.51033232,-1.0,1.0,0.0,1000.0,0.0,1000.0
1668398995.909576,16105.75,-6.229999999999563,30.32510239,-1.0,1.0,0.0,1000.0,0.0,1000.0
1668399056.542471,16093.44,-12.30999999999949,26.51796614,-1.0,1.0,0.0,1000.0,0.0,1000.0
1668399115.7718115,16108.01,14.569999999999707,37.12371558,2.0,0.0,1.0,0.0,0.0620809150230227,1000.0
1668399175.9335575,16102.37,-5.639999999999418,35.58364811,2.0,0.0,1.0,0.0,0.0620809150230227,999.6498636392702
1668399235.8736837,16103.33,0.9599999999991268,35.85869796,2.0,0.0,1.0,0.0,0.0620809150230227,999.7094613176922
1668399296.0233617,16097.0,-6.329999999999927,33.69099125,2.0,0.0,1.0,0.0,0.0620809150230227,999.3164891255964
1668399355.864326,16085.83,-11.170000000000073,30.24712927,2.0,0.0,1.0,0.0,0.0620809150230227,998.6230453047892
1668399415.7502728,16077.23,-8.600000000000364,30.03181105,2.0,0.0,1.0,0.0,0.0620809150230227,998.0891494355913
1668399475.7971234,16043.57,-33.659999999999854,21.127015,2.0,0.0,1.0,0.0,0.0620809150230227,995.9995058359164
1668399536.060207,16029.16,-14.409999999999854,18.91773925,2.0,0.0,1.0,0.0,0.0620809150230227,995.1049198504346
1668399595.9357746,15977.2,-51.95999999999913,14.84483893,2.0,0.0,1.0,0.0,0.0620809150230227,991.8791955058384
