time,price,rsi,change,change_coin,balance_USDT,balance_coin,profit,total_profit
1666604990.620848,19369.07,65.27470536,-3.054941072,-0.0001577226512166,1768.4328643445976,0.0913018985601579,-1.1368683772161605e-12,0.0181121008349709
1666605000.663862,19369.07,65.27470536,-3.054941072,-0.0001577226512166,1765.3779232725974,0.0911441759089412,0.1024347757556825,0.018112100833834
1666605010.6770303,19369.07,65.27470536,-3.054941072,-0.0001577226512166,1762.3229822005956,0.0909864532577245,-2.273736754432321e-13,0.1205468765895165
1666605020.7040548,19376.34,68.81089944,-3.762179888,-0.0001941635978724,1759.2222738277776,0.090792289659852,-1.8189894035458565e-12,0.1205468765892892
1666605030.778128,19376.34,68.81089944,-3.762179888,-0.0001941635978724,1755.460093939777,0.0905981260619795,0.6614715151820292,0.1205468765874702
1666605040.6810071,19376.34,68.81089944,-3.762179888,-0.0001941635978724,1751.697914051776,0.090403962464107,-6.821210263296962e-13,0.7820183917694994
1666605050.5964088,19364.52,58.38585535,-1.67717107,-8.661051603654519e-05,1748.9521681454491,0.0903173519480704,-9.094947017729282e-13,0.7820183917688173
1666605060.77631,19364.52,58.38585535,-1.67717107,-8.661051603654519e-05,1747.2749970754485,0.0902307414320338,-1.0685748363268883,0.7820183917679078
1666605070.9000664,19364.52,58.38585535,-1.67717107,-8.661051603654519e-05,1745.5978260054471,0.0901441309159972,-6.821210263296962e-13,-0.2865564445589825
1666605080.697274,19362.94,57.22691624,-1.4453832480000006,-7.464688978016772e-05,1744.0100150305989,0.090069484026217,-1.3642420526593924e-12,-0.2865564445596646
1666605091.0465088,19362.94,57.22691624,-1.4453832480000006,-7.464688978016772e-05,1742.564631782598,0.0899948371364368,-0.1424277268481546,-0.2865564445610289
1666605101.8444662,19366.78,59.33936392,-1.867872784,-9.64472557647683e-05,1741.0423391732015,0.089898389880672,-6.821210263296962e-13,-0.4289841714091835
1666605110.7646973,19366.78,59.33936392,-1.867872784,-9.64472557647683e-05,1739.174466389201,0.0898019426249072,0.3455801746033557,-0.4289841714098656
1666605120.7909286,19366.78,59.33936392,-1.867872784,-9.64472557647683e-05,1737.3065936052003,0.0897054953691424,-6.821210263296962e-13,-0.0834039968065099
1666605130.682521,19366.78,59.33936392,-1.867872784,-9.64472557647683e-05,1735.4387208211997,0.0896090481133776,-6.821210263296962e-13,-0.0834039968071902
1666605140.679692,19363.87,57.48380365,-1.49676073,-7.729656984889901e-05,1733.681197761189,0.0895317515435287,-6.821210263296962e-13,-0.0834039968078723
1666605150.612235,19363.87,57.48380365,-1.49676073,-7.729656984889901e-05,1732.184437031189,0.0894544549736798,-0.2607623300107207,-0.0834039968085544
1666605160.704009,19375.41,63.73992349,-2.7479846980000016,-0.0001418284670105,1730.4687567435851,0.0893126265066693,0.0,-0.3441663268192751
1666605171.3162162,19375.41,63.73992349,-2.7479846980000016,-0.0001418284670105,1727.7207720455854,0.0891707980396587,1.0323044103961363,-0.3441663268192751
1666605181.3310688,19375.41,63.73992349,-2.7479846980000016,-0.0001418284670105,1724.9727873475836,0.0890289695726481,2.273736754432321e-13,0.6881380835768613
1666605191.3585093,19375.41,63.73992349,-2.7479846980000016,-0.0001418284670105,1722.2248026495815,0.0888871411056375,-1.8189894035458565e-12,0.6881380835770887
