time,price,change_price,rsi,coin_allocation,cash_allocation,coin_balance,cash_balance,total_balance,profit,total_profit
1668032012.9653025,1115.39,x,54.43238742,0.0,1.0,0.0,1000.0,1000.0,x,x
1668032022.8938642,1118.56,3.1699999999998454,57.21513119,0.0,1.0,0.0,1000.0,0.0,0.0,0.0
1668032032.9190922,1118.56,0.0,57.21513119,0.0,1.0,0.0,1000.0,0.0,0.0,0.0
1668032043.1784267,1118.56,0.0,57.21513119,0.0,1.0,0.0,1000.0,0.0,0.0,0.0
1668032052.8871,1118.75,0.19000000000005457,57.38741656,0.0,1.0,0.0,1000.0,0.0,0.0,0.0
1668032062.8891888,1118.75,0.0,57.38741656,0.0,1.0,0.0,1000.0,0.0,0.0,0.0
1668032072.8424845,1118.75,0.0,57.38741656,0.0,1.0,0.0,1000.0,0.0,0.0,0.0
1668032082.989922,1110.48,-8.269999999999982,49.00742306,1.0,0.0,0.900511490526619,0.0,0.0,0.0,0.0
1668032092.88352,1110.48,0.0,49.00742306,1.0,0.0,0.900511490526619,0.0,0.0,0.0,0.0
1668032102.9558332,1110.48,0.0,49.00742306,1.0,0.0,0.900511490526619,0.0,0.0,0.0,0.0
1668032112.8232827,1118.57,8.089999999999918,57.12939329,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032122.9923804,1118.57,0.0,57.12939329,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032133.1200757,1118.57,0.0,57.12939329,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032143.0241566,1118.56,-0.009999999999990905,57.12000882,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032153.174867,1118.56,0.0,57.12000882,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032163.0101798,1118.56,0.0,57.12000882,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032172.924736,1116.23,-2.3299999999999272,54.40998031,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032183.210158,1116.23,0.0,54.40998031,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032193.8570364,1116.23,0.0,54.40998031,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
1668032203.8661714,1120.76,4.529999999999973,58.64670308,0.0,1.0,0.0,1007.2851379583602,0.0,0.0,0.0
