Time,Price,Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1669760844.8940587,1218.58,0.2400000000000091,1.0,0.0,1042.5228972611262,0.0,1042.5228972611262
1669760904.6886938,1218.94,0.3600000000001273,1.0,0.0,1042.5228972611262,0.0,1042.5228972611262
1669760965.007157,1219.1,0.1599999999998544,1.0,0.0,1042.5228972611262,0.0,1042.5228972611262
1669761024.652113,1219.21,0.1100000000001273,1.0,0.0,1042.5228972611262,0.0,1042.5228972611262
1669761084.5429134,1218.27,-0.9400000000000546,0.0,1.0,0.0,0.8557404329591357,1042.5228972611262
1669761144.588632,1218.35,0.0799999999999272,1.0,0.0,1042.591356495763,0.0,1042.591356495763
1669761204.772112,1218.46,0.1100000000001273,1.0,0.0,1042.591356495763,0.0,1042.591356495763
1669761264.7494156,1218.56,0.099999999999909,1.0,0.0,1042.591356495763,0.0,1042.591356495763
1669761324.597963,1218.34,-0.2200000000000272,0.0,1.0,0.0,0.8557474567819845,1042.591356495763
1669761385.1555414,1219.21,0.8700000000001182,1.0,0.0,1043.3358567831633,0.0,1043.3358567831633
1669761444.579622,1218.78,-0.4300000000000636,0.0,1.0,0.0,0.8560493746067078,1043.3358567831633
1669761504.89037,1218.8,0.0199999999999818,1.0,0.0,1043.3529777706556,0.0,1043.3529777706556
1669761564.548257,1219.13,0.3300000000001546,1.0,0.0,1043.3529777706556,0.0,1043.3529777706556
1669761624.5350316,1218.97,-0.1600000000000818,0.0,1.0,0.0,0.8559299882447111,1043.3529777706556
1669761684.8049915,1218.29,-0.6800000000000637,0.0,1.0,0.0,0.8559299882447111,1042.770945378649
1669761744.676017,1217.88,-0.4099999999998545,0.0,1.0,0.0,0.8559299882447111,1042.420014083469
1669761804.7145605,1218.89,1.009999999999991,1.0,0.0,1043.284503371596,0.0,1043.284503371596
1669761864.6050448,1219.04,0.1499999999998635,1.0,0.0,1043.284503371596,0.0,1043.284503371596
1669761925.0871663,1219.52,0.4800000000000182,1.0,0.0,1043.284503371596,0.0,1043.284503371596
1669761984.6379943,1220.42,0.900000000000091,1.0,0.0,1043.284503371596,0.0,1043.284503371596
1669762044.9663951,1220.25,-0.1700000000000727,0.0,1.0,0.0,0.8549760322651883,1043.284503371596
1669762104.716633,1219.85,-0.4000000000000909,0.0,1.0,0.0,0.8549760322651883,1042.9425129586898
1669762224.575898,1219.59,0.4299999999998363,1.0,0.0,1042.720219190301,0.0,1042.720219190301
1669762284.6617658,1219.76,0.1700000000000727,1.0,0.0,1042.720219190301,0.0,1042.720219190301
1669762344.861792,1221.99,2.230000000000018,1.0,0.0,1042.720219190301,0.0,1042.720219190301
1669762404.638606,1221.51,-0.4800000000000182,0.0,1.0,0.0,0.8536321595323009,1042.720219190301
1669762465.0633223,1220.73,-0.7799999999999727,0.0,1.0,0.0,0.8536321595323009,1042.0543861058657
1669762524.5905828,1221.47,0.7400000000000091,1.0,0.0,1042.6860739039196,0.0,1042.6860739039196
1669762585.0321248,1220.78,-0.6900000000000546,0.0,1.0,0.0,0.8541146430183322,1042.6860739039196
1669762644.6756103,1221.91,1.1300000000001091,1.0,0.0,1043.6512234505303,0.0,1043.6512234505303
1669762704.6846015,1221.4,-0.5099999999999909,0.0,1.0,0.0,0.8544712816853858,1043.6512234505303
1669762764.6721056,1222.46,1.0599999999999454,1.0,0.0,1044.5569630091168,0.0,1044.5569630091168
1669762824.685048,1223.17,0.7100000000000364,1.0,0.0,1044.5569630091168,0.0,1044.5569630091168
1669762884.7357254,1223.97,0.7999999999999545,1.0,0.0,1044.5569630091168,0.0,1044.5569630091168
1669762944.671204,1220.98,-2.990000000000009,0.0,1.0,0.0,0.8555070214164988,1044.5569630091168
1669763005.0742495,1221.62,0.6399999999998727,1.0,0.0,1045.104487502823,0.0,1045.104487502823
1669763064.714012,1220.61,-1.009999999999991,0.0,1.0,0.0,0.8562149150857548,1045.104487502823
1669763124.9124167,1221.1,0.4900000000000091,1.0,0.0,1045.524032811215,0.0,1045.524032811215
1669763184.5752292,1220.66,-0.4399999999998272,0.0,1.0,0.0,0.8565235469428136,1045.524032811215
1669763244.662295,1221.22,0.5599999999999454,1.0,0.0,1046.0036859975028,0.0,1046.0036859975028
1669763304.6185565,1221.38,0.1600000000000818,1.0,0.0,1046.0036859975028,0.0,1046.0036859975028
1669763364.6587057,1221.08,-0.3000000000001819,0.0,1.0,0.0,0.8566217495966708,1046.0036859975028
1669763424.604865,1221.35,0.2699999999999818,1.0,0.0,1046.2349738698938,0.0,1046.2349738698938
1669763484.7279088,1220.92,-0.4299999999998363,0.0,1.0,0.0,0.8569234461470807,1046.2349738698938
1669763544.831543,1221.48,0.5599999999999454,1.0,0.0,1046.7148509997362,0.0,1046.7148509997362
1669763604.7802153,1221.51,0.0299999999999727,1.0,0.0,1046.7148509997362,0.0,1046.7148509997362
1669763665.019677,1220.46,-1.0499999999999543,0.0,1.0,0.0,0.8576396203068811,1046.7148509997362
1669763844.650363,1219.53,-0.5499999999999545,0.0,1.0,0.0,0.8576396203068811,1045.9172461528508
1669763904.7488077,1219.49,-0.0399999999999636,0.0,1.0,0.0,0.8576396203068811,1045.8829405680383
1669763964.8064983,1219.91,0.4200000000000727,1.0,0.0,1046.2431492085675,0.0,1046.2431492085675
