time,price,rsi,change_cash,change_coin,balance_USDT,balance_coin,profit,total_profit
1668182732.821879,16876.46,51.24148809,-0.2482976180000005,-1.47126600009718e-05,,,,29.70204198183933
1668182792.8653817,16865.98,49.71199896,0.0576002079999984,3.4151711314728484e-06,,,,29.70204198183933
1668182852.8946426,16827.64,44.46233359,1.1075332820000003,6.581631660767644e-05,,,,29.70204198183933
1668182913.7711997,16840.32,46.42702428,0.7145951440000005,4.243358463497133e-05,,,,29.70204198183933
1668182973.8693438,16837.83,46.04946404,0.7901071920000007,4.69245260226526e-05,,,,29.70204198183933
1668183033.7889616,16785.99,39.29895826,2.140208348,0.0001274996796733,,,,29.70204198183933
1668183094.7297995,16759.83,36.38736247,2.722527506,0.0001624436229961,,,,29.70204198183933
1668183154.7590458,16766.49,37.53705773,2.492588454,0.0001486648937255,,,,29.70204198183933
1668183214.7275283,16732.89,33.8577385,3.228452299999999,0.0001929405081847,,,,29.70204198183933
1668183276.218135,16709.29,31.52072687,3.695854625999999,0.0002211856174619,,,,29.70204198183933
1668183336.1233284,16706.78,31.43777912,3.712444176,0.0002222118311248,,,,29.70204198183933
1668183396.185041,16686.82,29.3131413,4.137371739999999,0.0002479424923382,,,,29.70204198183933
1668183457.596676,16657.34,26.83725691,4.632548618,0.0002781085466226,,,,29.70204198183933
1668183517.5023794,16686.59,33.30456086,3.339087828,0.0002001060628924,,,,29.70204198183933
1668183577.536086,16734.87,42.3021339,1.5395732199999994,9.199791931458083e-05,,,,29.70204198183933
1668183638.6813543,16751.37,45.05430626,0.9891387480000002,5.90482299656685e-05,,,,29.70204198183933
1668183698.931915,16764.0,47.14082552,0.5718348960000004,3.411088618468148e-05,,,,29.70204198183933
1668183758.86825,16747.59,44.73303158,1.0533936839999996,6.289822499834302e-05,,,,29.70204198183933
1668183820.0112894,16758.89,46.73926984,0.6521460319999992,3.8913438300507926e-05,,,,29.70204198183933
1668183880.382753,16746.66,44.84777085,1.0304458299999997,6.153142357938835e-05,,,,29.70204198183933
1668183940.0994737,16725.79,41.86718987,1.6265620260000002,9.724874137484688e-05,,,,29.70204198183933
1668184000.8765202,16723.65,41.56637697,1.6867246060000003,0.0001008586406675,,,,29.70204198183933
1668184060.9032865,16683.94,36.47410885,2.70517823,0.0001621426491584,,,,29.70204198183933
1668184120.9588573,16693.17,39.01047188,2.197905624000001,0.0001316649638145,,,,29.70204198183933
1668184183.008639,16628.45,29.70226887,4.059546225999999,0.0002441325695419,,,,29.70204198183933
1668184243.0801108,16616.75,30.9698871,3.80602258,0.000229047351618,,,,29.70204198183933
1668184303.1256857,16675.56,42.10394291,1.579211418,9.470215201168657e-05,,,,29.70204198183933
1668184364.8374443,16703.06,46.55259661,0.6894806779999989,4.127870450085187e-05,,,,29.70204198183933
1668184425.143571,16699.43,46.01914367,0.796171266,4.76765533913433e-05,,,,29.70204198183933
1668184484.971526,16702.4,46.5985204,0.6802959200000007,4.0730429159881255e-05,,,,29.70204198183933
1668184546.1408725,16688.2,44.55311152,1.0893776959999997,6.527832216775923e-05,,,,29.70204198183933
1668184606.6075494,16726.49,51.0050724,-0.2010144800000013,-1.2017732351497614e-05,,,,29.70204198183933
1668184666.533456,16743.63,53.57901436,-0.7158028720000011,-4.2750757870306566e-05,,,,29.70204198183933
1668184727.4059062,16740.04,52.76087106,-0.5521742120000006,-3.2985238506001214e-05,,,,29.70204198183933
1668184787.6538324,16749.56,54.02505647,-0.8050112940000016,-4.8061638275871216e-05,,,,29.70204198183933
1668184847.6026783,16743.16,53.21280391,-0.6425607820000003,-3.837750950238786e-05,,,,29.70204198183933
