time,open,close,macd,mom,rsi
1668274641.8416483,0.043652,0.043652,-4.35e-06,6e-05,47.78541232
1668274701.938679,0.043624,0.043624,-9.2e-06,3.1e-05,45.14786723
1668274761.3444123,0.043624,0.043644,-7.61e-06,5.1e-05,47.15120557
1668274821.1854825,0.04364,0.04364,-8.96e-06,4.7e-05,46.76629954
1668274881.3680892,0.043641,0.043641,-9.77e-06,-4.8e-05,46.86193571
1668274941.3788564,0.043623,0.043623,-1.284e-05,-3.8e-05,45.06776264
1668275001.2667384,0.043597,0.043597,-1.475e-05,-6.4e-05,42.85060401
1668275061.2107418,0.043584,0.043584,-2.138e-05,-0.000147,42.33942837
1668275121.247839,0.043584,0.043613,-1.907e-05,-0.000118,45.75480061
1668275181.3480678,0.043657,0.043657,-1.565e-05,-6e-05,50.54153266
1668275241.3529358,0.043586,0.043586,-1.845e-05,-4.3e-05,43.82171441
1668275301.370274,0.043586,0.043586,-1.845e-05,-4.3e-05,43.82171441
1668275361.2644048,0.043573,0.043573,-2.147e-05,-5.6e-05,42.70220158
1668275421.4075174,0.043573,0.043644,-1.581e-05,1.5e-05,49.7046159
1668275481.4085228,0.043573,0.043644,-1.581e-05,1.5e-05,49.7046159
1668275541.636472,0.043644,0.043644,-1.356e-05,0.0,49.7046159
1668275601.3679285,0.043569,0.043569,-1.763e-05,-7.2e-05,42.95821751
1668275662.2751129,0.043569,0.043569,-1.763e-05,-7.2e-05,42.95821751
1668275721.415272,0.043644,0.043644,-1.463e-05,2e-05,50.23272809
1668275782.111443,0.043644,0.043644,-1.463e-05,2e-05,50.23272809
1668275841.9777453,0.043644,0.043644,-1.212e-05,-1e-06,50.23272809
1668275902.9763288,0.04363,0.04363,-1.199e-05,1e-05,48.97711638
1668275962.8581636,0.04363,0.043661,-9.51e-06,4.1e-05,51.84728688
1668276022.90183,0.04363,0.043661,-9.51e-06,4.1e-05,51.84728688
1668276082.8818307,0.0436,0.0436,-1.136e-05,3.6e-05,46.32509105
1668276143.6693437,0.04366,0.04366,-5.42e-06,4.7e-05,51.75408586
1668276203.639192,0.04366,0.043754,2.08e-06,0.000141,59.20493922
1668276263.5896423,0.04375,0.04375,1.259e-05,0.000164,57.71853562
1668276324.740805,0.043748,0.043748,1.454e-05,0.000104,57.83271785
1668276384.8041525,0.043761,0.043761,2.007e-05,0.000117,58.82339562
