Time,Price,RSI,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668674522.0,0.045215,51.73380248,0.5173380248,0.4826619752,532.7352967178316,10992.52905588133,1029.762497979506
1668674582.0,0.045215,51.73380248,0.5173380248,0.4826619752,532.7352967178316,10992.52905588133,1029.762497979506
1668674642.0,0.045173,49.15483819,0.4915483819,0.5084516181000001,505.9511485085711,11585.452886693112,1029.300811759159
1668674702.0,0.045173,49.15483819,0.4915483819,0.5084516181000001,505.9511485085711,11585.452886693112,1029.300811759159
1668674762.0,0.045173,49.15483819,0.4915483819,0.5084516181000001,505.9511485085711,11585.452886693112,1029.300811759159
1668674823.0,0.045173,49.15483819,0.4915483819,0.5084516181000001,505.9511485085711,11585.452886693112,1029.300811759159
1668674884.0,0.045173,49.15483819,0.4915483819,0.5084516181000001,505.9511485085711,11585.452886693112,1029.300811759159
1668674943.0,0.045185,49.92295324,0.4992295324,0.5007704676,513.9267685561927,11408.942539285314,1029.4398371937996
1668675004.0,0.045214,51.80386867,0.5180386867,0.4819613133,533.4610592312185,10976.901784761803,1029.7706965274388
1668675064.0,0.045249,53.33119916,0.5333119916,0.4666880084,549.3939550237026,10624.78580888424,1030.1548880899054
1668675124.0,0.045174,48.8971353,0.488971353,0.5110286470000001,503.3265882369618,11644.561936451886,1029.3580291542394
1668675195.0,0.045174,48.8971353,0.488971353,0.5110286470000001,503.32658823696187,11644.561936451888,1029.3580291542394
1668675245.0,0.045326,56.74610763,0.5674610763,0.4325389237,585.1250061406356,9839.893139212472,1031.12800256858
1668675305.0,0.045335,57.16561892,0.5716561892,0.4283438107999999,589.5013298480893,9743.360135849647,1031.216561606833
1668675366.0,0.04535,56.95473569,0.5695473569,0.4304526431,587.4099066298683,9789.477516626295,1031.3627120088709
1668675426.0,0.04538,58.0529232,0.5805292320000001,0.4194707679999999,598.9066954518792,9536.132677005076,1031.6563963343694
1668675486.0,0.045356,56.9884877,0.569884877,0.430115123,587.7949505841309,9781.122201384394,1031.4275291501217
1668675547.0,0.045342,55.94194758,0.5594194758,0.4405805242,576.9240431792851,10020.875794186775,1031.290593439302
1668675607.0,0.04537,57.43548618,0.5743548618,0.4256451382,592.487921354963,9677.832413634036,1031.5711779615392
1668675666.0,0.045339,55.56260729,0.5556260729,0.4443739271,573.0011475910337,10107.63399205282,1031.2711651567165
1668675727.0,0.04534,55.62553532,0.5562553532,0.4437446468,573.6557286447411,10093.196827215868,1031.2812727907085
