,time,open,close,macd,mom,rsi
0,1.0,2.0,3.0,4.0,5.0,6.0
1,7.0,8.0,9.0,10.0,11.0,12.0
2,1666466943.343834,19183.98,19183.1,2.72585544,-2.09,56.02605774
3,1666466943.355978,19183.98,19183.1,2.72585544,-2.09,56.02605774
4,1666466943.3825538,19183.98,19183.1,2.72585544,-2.09,56.02605774
5,1666466943.3907385,19183.98,19183.1,2.72585544,-2.09,56.02605774
6,1666466943.4894907,19183.98,19183.1,2.72585544,-2.09,56.02605774
7,1666466943.5029323,19183.98,19183.1,2.72585544,-2.09,56.02605774
8,1666466952.3871973,19183.64,19183.64,2.62092477,-0.83,56.99694256
9,1666466962.3922365,19183.64,19183.64,2.62092477,-0.83,56.99694256
10,1666466972.4453611,19183.64,19183.64,2.62092477,-0.83,56.99694256
11,1666466982.38894,19183.64,19183.68,2.62411565,-0.79,57.06200106
12,1666466992.460443,19183.64,19183.68,2.62411565,-0.79,57.06200106
13,1666467002.4458508,19183.64,19183.68,2.62411565,-0.79,57.06200106
14,1666467012.7415528,19183.64,19183.68,2.62411565,-0.79,57.06200106
15,1666467023.098425,19182.61,19182.61,2.35043369,-2.59,54.8044151
16,1666467047.510995,19182.61,19183.89,2.45254196,-1.31,57.14655633
17,1666467051.5093875,19182.61,19183.89,2.45254196,-1.31,57.14655633
18,1666467061.5523293,19182.61,19183.89,2.45254196,-1.31,57.14655633
19,1666467071.574236,19182.61,19183.89,2.45254196,-1.31,57.14655633
20,1666467081.54924,19182.77,19182.77,2.17746757,-1.35,55.15053028
21,1666467091.5083144,19182.77,19182.77,2.17746757,-1.35,55.15053028
22,1666467101.7025907,19182.77,19182.77,2.17746757,-1.35,55.15053028
23,1666467111.5945106,19182.77,19181.0,2.03627098,-3.12,51.29141497
24,1666467121.5746987,19182.77,19181.0,2.03627098,-3.12,51.29141497
25,1666467131.5900886,19179.1,19179.1,1.51174245,-4.49,47.65667992
26,1666467141.5599797,19179.1,19179.1,1.51174245,-4.49,47.65667992
27,1666467151.5941668,19179.1,19179.1,1.51174245,-4.49,47.65667992
28,1666467161.5390744,19179.1,19179.1,1.51174245,-4.49,47.65667992
29,1666467171.8738074,19179.1,19174.81,1.16952023,-8.78,40.74259701
30,1666467181.5936675,19179.1,19174.81,1.16952023,-8.78,40.74259701
31,1666467191.5743527,19174.87,19174.87,0.58059511,-6.24,40.82543615
32,1666467201.5882146,19174.87,19174.87,0.58059511,-6.24,40.82543615
33,1666467211.6306343,19174.87,19174.87,0.58059511,-6.24,40.82543615
34,1666467221.6408522,19174.87,19173.96,0.50800252,-7.15,39.51322365
35,1666467232.3663204,19174.87,19173.96,0.50800252,-7.15,39.51322365
36,1666467242.3931935,19174.87,19173.96,0.50800252,-7.15,39.51322365
37,1666467252.3952014,19178.61,19178.61,0.63751581,-7.37,47.93204538
38,1666467262.4178195,19178.61,19178.61,0.63751581,-7.37,47.93204538
39,1666467272.6128683,19178.61,19178.61,0.63751581,-7.37,47.93204538
40,1666467282.4109342,19178.61,19178.2,0.60480926,-7.78,47.26195104
41,1666467292.3479798,19178.61,19178.2,0.60480926,-7.78,47.26195104
42,1666467302.351924,19178.61,19178.2,0.60480926,-7.78,47.26195104
43,1666467312.3705976,19179.27,19179.27,0.53439781,-5.19,49.09390634
44,1666467322.4344108,19179.27,19179.27,0.53439781,-5.19,49.09390634
45,1666467332.6887002,19179.27,19179.27,0.53439781,-5.19,49.09390634
46,1666467342.3898227,19179.27,19179.27,0.53439781,-5.19,49.09390634
47,1666467352.396395,19179.27,19180.74,0.65166277,-3.72,51.68013792
