Time,Price,RSI,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668695576.0,1192.99,62.17757981,0.6217757980999999,0.3782242019,621.8277631588967,0.3170653669157597,1000.0835752357287
1668695637.0,1192.12,57.69949955,0.5769949955,0.4230050045,576.8840557297009,0.3547660240888595,999.807728366512
1668695697.0,1192.32,58.65688805,0.5865688805,0.4134311195,586.497718885111,0.3467030349958224,999.8786815713298
1668695757.0,1194.0,64.63656557,0.6463656557,0.3536343442999999,646.6637224843453,0.2963127472242693,1000.4611426701229
1668695818.0,1194.28,65.49984609,0.6549984609,0.3450015391,655.3548522693313,0.2890354506229814,1000.5441102393456
1668695878.0,1193.26,58.5488202,0.5854882020000001,0.4145117979999999,585.6341607424988,0.3474642017139696,1000.24929407971
1668695938.0,1193.19,58.02093518,0.5802093518,0.4197906482,580.3398824178487,0.3519012807413249,1000.2249715855902
1668695999.0,1191.36,50.0619003,0.500619003,0.499380997,500.4092397538573,0.4189932115296603,999.5809922418334
1668696059.0,1192.47,54.58988666,0.5458988666,0.4541011334,545.924018730129,0.3808247217762311,1000.0460747066312
1668696119.0,1192.63,54.3101149,0.5431011490000001,0.4568988509999999,543.1592644411456,0.3831429212924124,1000.1070066621156
1668696180.0,1193.98,59.88247519,0.5988247519000001,0.4011752480999999,599.198568015353,0.3362080450179293,1000.6242496058602
1668696240.0,1194.0,59.81554584,0.5981554584,0.4018445416,598.5328788026949,0.3367655736717467,1000.6309737667603
1668696300.0,1194.8,62.57133208,0.6257133208,0.3742866792,626.276704455284,0.3135450968952242,1000.9003862256978
1668696361.0,1194.94,61.33129791,0.6133129791,0.3866870208999999,613.8921198372677,0.3239092864093557,1000.9442825392632
1668696421.0,1196.98,69.00464165,0.6900464165,0.3099535835,691.1539806647921,0.2593619582772863,1001.6050574835384
1668696481.0,1195.15,59.34995749,0.5934995749,0.4065004250999999,594.1704817162416,0.3405095120977696,1001.1304250998908
1668696541.0,1195.83,62.25350487,0.6225350487,0.3774649513,623.382923736486,0.3160809210603777,1001.3619715681174
1668696602.0,1195.52,61.08114605,0.6108114605,0.3891885395,611.5835179294822,0.3259506060568676,1001.2639864825888
1668696662.0,1196.45,64.29562035,0.6429562034999999,0.3570437965,643.9637933768254,0.2988869799568692,1001.5671205462216
1668696723.0,1195.92,61.47231351,0.6147231351,0.3852768649,615.5891020023323,0.3226132253365711,1001.4087104468445
