time,open,close,macd,mom,rsi
1,2,3,4,5,6
7,8,9,10,11,12
1666466943.465262,1313.97,1313.96,0.58069702,0.01,60.75442335
1666466943.4684906,1313.97,1313.96,0.58069702,0.01,60.75442335
1666466943.5030897,1313.97,1313.96,0.58069702,0.01,60.75442335
1666466943.5306208,1313.97,1313.96,0.58069702,0.01,60.75442335
1666466943.6521678,1313.97,1313.96,0.58069702,0.01,60.75442335
1666466943.7363675,1313.97,1313.96,0.58069702,0.01,60.75442335
1666466952.5019658,1313.96,1313.96,0.53659794,-0.16,60.66822678
1666466962.5592606,1313.96,1313.96,0.53659794,-0.16,60.66822678
1666466972.595179,1313.96,1313.96,0.53659794,-0.16,60.66822678
1666466982.5630274,1313.96,1313.93,0.53420478,-0.19,60.02973523
1666466992.8464012,1313.96,1313.93,0.53420478,-0.19,60.02973523
1666467002.7788403,1313.96,1313.93,0.53420478,-0.19,60.02973523
1666467013.0461307,1313.93,1313.93,0.49168233,-0.53,60.01354032
1666467023.2578237,1313.93,1313.93,0.49168233,-0.53,60.01354032
1666467047.9424455,1313.93,1313.73,0.47572792,-0.73,55.79858227
1666467051.6689122,1313.93,1313.73,0.47572792,-0.73,55.79858227
1666467061.707039,1313.93,1313.73,0.47572792,-0.73,55.79858227
1666467071.7001636,1313.74,1313.74,0.42466404,-0.69,55.96511346
1666467081.7023299,1313.74,1313.74,0.42466404,-0.69,55.96511346
1666467091.6212611,1313.74,1313.74,0.42466404,-0.69,55.96511346
1666467101.881874,1313.74,1313.73,0.42386632,-0.7,55.79858227
1666467111.7035003,1313.74,1313.73,0.42386632,-0.7,55.79858227
1666467121.72939,1313.74,1313.73,0.42386632,-0.7,55.79858227
1666467131.710239,1313.44,1313.44,0.33802441,-0.98,50.27066225
1666467141.7475836,1313.44,1313.44,0.33802441,-0.98,50.27066225
1666467151.7348669,1313.44,1313.44,0.33802441,-0.98,50.27066225
1666467161.6936734,1313.44,1312.93,0.29734065,-1.49,42.3463592
1666467172.1776457,1313.44,1312.93,0.29734065,-1.49,42.3463592
1666467181.6939924,1313.44,1312.93,0.29734065,-1.49,42.3463592
1666467191.7331283,1312.57,1312.57,0.16204762,-1.55,38.09811677
1666467201.7543879,1312.57,1312.57,0.16204762,-1.55,38.09811677
1666467211.7594612,1312.57,1312.57,0.16204762,-1.55,38.09811677
1666467221.8094747,1312.57,1312.57,0.16204762,-1.55,38.09811677
1666467232.5187397,1312.57,1312.57,0.16204762,-1.55,38.09811677
1666467242.5736597,1312.57,1312.57,0.16204762,-1.55,38.09811677
1666467252.5389915,1312.83,1312.83,0.11283118,-1.5,42.52819611
1666467262.5608246,1312.83,1312.83,0.11283118,-1.5,42.52819611
1666467272.779001,1312.83,1312.83,0.11283118,-1.5,42.52819611
1666467282.5368369,1312.83,1312.85,0.11442662,-1.48,42.87196726
1666467292.528736,1312.83,1312.85,0.11442662,-1.48,42.87196726
1666467302.4817305,1312.83,1312.85,0.11442662,-1.48,42.87196726
1666467312.5226336,1312.84,1312.84,0.05814922,-1.44,42.7005973
1666467322.785121,1312.84,1312.84,0.05814922,-1.44,42.7005973
1666467333.1596372,1312.84,1312.84,0.05814922,-1.44,42.7005973
1666467342.7569706,1312.84,1312.84,0.05814922,-1.44,42.7005973
1666467352.5278127,1312.84,1313.08,0.07729452,-1.2,46.8234826
1666467362.5641463,1312.84,1313.08,0.07729452,-1.2,46.8234826
1666467372.522293,1313.2,1313.2,0.06491006,-0.78,48.67016016
1666467382.7411256,1313.2,1313.2,0.06491006,-0.78,48.67016016
1666467392.750914,1313.2,1313.2,0.06491006,-0.78,48.67016016
1666467402.57374,1313.2,1313.07,0.05453969,-0.91,46.77505935
1666467413.2943835,1313.2,1313.07,0.05453969,-0.91,46.77505935
1666467423.3059678,1313.2,1313.07,0.05453969,-0.91,46.77505935
1666467433.372926,1313.08,1313.08,0.03000399,-0.88,46.91558102
1666467443.45269,1313.08,1313.08,0.03000399,-0.88,46.91558102
1666467453.3493733,1313.08,1313.08,0.03000399,-0.88,46.91558102
1666467463.341918,1313.08,1313.08,0.03000399,-0.88,46.91558102
1666467473.3488376,1313.08,1313.47,0.0611151,-0.49,52.8631415
1666467483.4205892,1313.08,1313.47,0.0611151,-0.49,52.8631415
1666467493.7705572,1313.69,1313.69,0.09604505,-0.28,55.66518439
1666467503.3173718,1313.69,1313.69,0.09604505,-0.28,55.66518439
1666467513.3795505,1313.69,1313.69,0.09604505,-0.28,55.66518439
1666467523.62387,1313.69,1313.58,0.08727013,-0.39,53.93867438
1666467533.4025164,1313.69,1313.58,0.08727013,-0.39,53.93867438
1666467543.4165509,1313.69,1313.58,0.08727013,-0.39,53.93867438
1666467553.3992293,1313.58,1313.58,0.09301754,-0.36,53.93867438
1666467563.4322145,1313.58,1313.58,0.09301754,-0.36,53.93867438
1666467573.4211326,1313.58,1313.58,0.09301754,-0.36,53.93867438
1666467583.4132526,1313.58,1313.58,0.09301754,-0.36,53.93867438
1666467594.1003575,1313.58,1313.58,0.09301754,-0.36,53.93867438
1666467604.1124861,1313.58,1313.58,0.09301754,-0.36,53.93867438
1666467614.1043031,1313.57,1313.57,0.09566274,-0.16,53.76286399
1666467624.1600916,1313.57,1313.57,0.09566274,-0.16,53.76286399
