,time,open,close,macd,mom,rsi
0,1.0,2.0,3.0,4.0,5.0,6.0
1,7.0,8.0,9.0,10.0,11.0,12.0
2,1666466943.465262,1313.97,1313.96,0.58069702,0.01,60.75442335
3,1666466943.4684906,1313.97,1313.96,0.58069702,0.01,60.75442335
4,1666466943.5030897,1313.97,1313.96,0.58069702,0.01,60.75442335
5,1666466943.5306208,1313.97,1313.96,0.58069702,0.01,60.75442335
6,1666466943.6521678,1313.97,1313.96,0.58069702,0.01,60.75442335
7,1666466943.7363677,1313.97,1313.96,0.58069702,0.01,60.75442335
8,1666466952.5019658,1313.96,1313.96,0.53659794,-0.16,60.66822678
9,1666466962.5592606,1313.96,1313.96,0.53659794,-0.16,60.66822678
10,1666466972.595179,1313.96,1313.96,0.53659794,-0.16,60.66822678
11,1666466982.5630274,1313.96,1313.93,0.53420478,-0.19,60.02973523
12,1666466992.8464012,1313.96,1313.93,0.53420478,-0.19,60.02973523
13,1666467002.7788403,1313.96,1313.93,0.53420478,-0.19,60.02973523
14,1666467013.046131,1313.93,1313.93,0.49168233,-0.53,60.01354032
15,1666467023.2578237,1313.93,1313.93,0.49168233,-0.53,60.01354032
16,1666467047.9424455,1313.93,1313.73,0.47572792,-0.73,55.79858227
17,1666467051.6689122,1313.93,1313.73,0.47572792,-0.73,55.79858227
18,1666467061.707039,1313.93,1313.73,0.47572792,-0.73,55.79858227
19,1666467071.7001636,1313.74,1313.74,0.42466404,-0.69,55.96511346
20,1666467081.70233,1313.74,1313.74,0.42466404,-0.69,55.96511346
21,1666467091.6212611,1313.74,1313.74,0.42466404,-0.69,55.96511346
22,1666467101.881874,1313.74,1313.73,0.42386632,-0.7,55.79858227
23,1666467111.7035005,1313.74,1313.73,0.42386632,-0.7,55.79858227
24,1666467121.72939,1313.74,1313.73,0.42386632,-0.7,55.79858227
25,1666467131.710239,1313.44,1313.44,0.33802441,-0.98,50.27066225
26,1666467141.7475836,1313.44,1313.44,0.33802441,-0.98,50.27066225
27,1666467151.7348669,1313.44,1313.44,0.33802441,-0.98,50.27066225
28,1666467161.6936734,1313.44,1312.93,0.29734065,-1.49,42.3463592
29,1666467172.1776457,1313.44,1312.93,0.29734065,-1.49,42.3463592
30,1666467181.6939924,1313.44,1312.93,0.29734065,-1.49,42.3463592
31,1666467191.7331283,1312.57,1312.57,0.16204762,-1.55,38.09811677
32,1666467201.754388,1312.57,1312.57,0.16204762,-1.55,38.09811677
33,1666467211.7594612,1312.57,1312.57,0.16204762,-1.55,38.09811677
34,1666467221.8094747,1312.57,1312.57,0.16204762,-1.55,38.09811677
35,1666467232.5187397,1312.57,1312.57,0.16204762,-1.55,38.09811677
36,1666467242.5736597,1312.57,1312.57,0.16204762,-1.55,38.09811677
37,1666467252.5389917,1312.83,1312.83,0.11283118,-1.5,42.52819611
38,1666467262.5608246,1312.83,1312.83,0.11283118,-1.5,42.52819611
39,1666467272.779001,1312.83,1312.83,0.11283118,-1.5,42.52819611
40,1666467282.5368369,1312.83,1312.85,0.11442662,-1.48,42.87196726
41,1666467292.528736,1312.83,1312.85,0.11442662,-1.48,42.87196726
42,1666467302.4817305,1312.83,1312.85,0.11442662,-1.48,42.87196726
43,1666467312.5226336,1312.84,1312.84,0.05814922,-1.44,42.7005973
44,1666467322.785121,1312.84,1312.84,0.05814922,-1.44,42.7005973
45,1666467333.1596372,1312.84,1312.84,0.05814922,-1.44,42.7005973
46,1666467342.7569706,1312.84,1312.84,0.05814922,-1.44,42.7005973
47,1666467352.5278127,1312.84,1313.08,0.07729452,-1.2,46.8234826
48,1666467362.5641465,1312.84,1313.08,0.07729452,-1.2,46.8234826
