time,BTCUSDT,ETHUSDT,BTCDOWNUSDT,BTCUPUSDT
1669843003.443479,,,,
29870788330693.0,0.000294291177091,0.0,2.771434608342271e-07,
1669755204.8339195,0.0004201885010855,0.0001903230040841,0.0,-2.7806038463890785e-07
1669755265.0063856,-0.0027403965977647,-0.0005432082216449,0.0,-5.523754580363834e-07
1669755325.8210676,0.003078973762328,0.0003667805297849,2.7038532671069516e-10,5.465422558009668e-07
1669755385.0734549,-0.0016259154987678,-0.0001597876737787,-2.77514517416306e-10,0.0
1669755445.5462658,0.0026442836261524,0.0001741075436096,-4.6486688297708435e-09,1.3672555381682937e-06
1669755504.8972845,-0.0060308378949284,-0.000339288852361,4.736533218487327e-09,-1.3930980054378554e-06
1669755565.544467,0.0061864438767582,0.0002280955823677,0.0,0.0
1669755624.9880955,-0.0030358665320273,-9.669185736732948e-05,0.0,1.415009582494948e-06
1669755684.831033,-0.0023740114285743,-0.0002486529371974,4.747042443544761e-09,-1.40556776743813e-06
1669755744.897357,0.0024016762215009,0.0003168161296868,-4.7293882031949175e-09,0.0
1669755804.9530826,0.0009095140107901,-5.820947388228085e-05,0.0,0.0
1669755865.807919,-0.0022895526770655,5.005337701292674e-06,0.0,0.0
1669755924.817041,-0.0008810734799671,-0.0001797941926119,-5.74369925262795e-10,0.0
1669755985.6319673,0.0013248053070939,0.0001798861993483,5.573149051846907e-10,0.0
1669756045.0293725,-0.0023000598267606,-0.0002002532096043,0.0,0.0
1669756105.027495,0.0032270870916645,0.0001710283634962,0.0,0.0
1669756164.8905747,0.000564905575756,0.0001897853430867,-2.790499103932079e-10,0.0
1669756224.9977918,-0.0025896783333969,-0.0002748438380867,2.7791649428417745e-10,0.0
1669756284.8830566,0.0025430975412584,0.000242325868732,0.0,0.0
1669756344.9881527,0.0021497293560945,0.0003813741230041,-1.88228907235868e-08,0.0
1669756406.895718,-0.0033884437225185,-0.0007226728387557,2.192777656434532e-08,-1.8264617870329167e-06
1669756465.460352,-0.0003786962671126,5.8638969545220906e-05,-3.8614363319180724e-09,2.805400570131267e-06
1669756584.9748864,-2.206020755657695e-05,-4.483775954667274e-05,-2.7303804060787195e-09,-3.586030081017055e-07
1669756644.945456,0.0001707365180933,0.0001843172396054,1.6285306862892552e-08,-1.395214888315761e-07
1669756704.8188455,0.0014078443570581,-3.075272521918488e-05,-2.3135537593425e-08,0.0
1669756765.0077114,-0.0008795759612303,5.834597949719776e-05,1.220963473137085e-08,0.0
1669756825.034103,0.0005827830447028,0.0001026499632148,0.0,0.0
1669756884.9788816,-0.0011708243759619,-0.0001445896148812,1.2244750893511969e-08,0.0
1669756945.498345,-0.0003574756596988,-3.770065388121713e-05,-1.212847639884093e-08,-5.460593650458162e-07
1669757004.991186,0.0004890089498568,-2.140691420726405e-05,0.0,-8.571872675395579e-07
1669757065.8890417,0.0030012138444017,0.0004879759871901,-1.0516242801330726e-08,1.1104296738136454e-06
1669757125.0607307,-0.0049021485777213,-0.0006799210831722,1.0823024451370613e-08,2.775134474709801e-07
1669757184.9873483,0.0018385435059017,0.0002793331369485,0.0,0.0
1669757244.839192,0.0007587643585087,4.744236529530504e-05,0.0,8.374640826334932e-07
1669757305.047165,-0.0007329713671712,-8.848924761183285e-05,0.0,-5.566484250879432e-07
1669757365.050285,-6.804891053398328e-05,2.597935395914808e-06,2.360865560232738e-08,-2.7680387102609137e-07
1669757365.050285,,,,
1669757424.998209,0.0010486047259599,5.0040832172696944e-05,-2.3352132378045e-08,0.0
1669757424.998209,,,,
1669757485.4227614,-0.0011219491901487,-9.58608244306382e-05,-2.760656743441873e-10,-1.0955522792075844e-06
1669757485.4227614,,,,
1669757548.1838424,0.0012130406433509,0.0002014580847909,-2.5387455180085163e-10,1.0547660287626806e-06
1669757548.1838424,,,,
1669757605.7948017,-0.0008948662836845,-0.0001882224468003,2.7656962321704067e-10,0.0
1669757605.7948017,,,,
1669757665.0942152,-0.0002772856680713,4.760752872574562e-06,0.0,0.0
1669757725.159439,0.0002742288697345,2.8504977834111625e-05,0.0,0.0
1669757785.071042,0.0006041801931078,1.663038080756946e-05,2.7859808112405985e-10,0.0
1669757845.1286206,-0.0031589330539944,-9.14504543187502e-05,1.940042352710957e-09,-2.772454093764692e-07
1669757905.044411,0.0033167985458482,0.0002030916928346,6.690680538210369e-09,2.7790149919205144e-07
1669757964.837327,-2.951709167180124e-05,-3.8963698263483146e-05,-1.1004651119700995e-09,0.0
1669758025.6460276,-0.0018782404125021,-0.0001334337381082,-7.700919333443119e-09,0.0
1669758088.268148,0.0012837686202105,4.8105790244183365e-05,-7.65007542945253e-10,-7.650075429445173e-07
1669758145.7277424,0.0003980251929563,0.0001789831531921,3.256804494289272e-09,8.337405593085364e-07
1669758204.9821236,0.0001217629151621,-8.695481513668825e-05,2.776954743727191e-09,0.0
1669758264.844735,-0.0009819318554326,-8.42891667117319e-05,-3.4002108314917722e-09,0.0
1669758324.954964,0.0015323943075312,0.0001357268527077,-1.6674284617773351e-09,0.0
1669758385.0393093,-0.0024509758407908,-0.0002021623478259,6.647962706645776e-09,2.7699844611025344e-07
1669758444.843433,0.0005359177452024,-1.442337898880594e-05,-5.281110949795508e-09,5.605047376788225e-07
1669758504.957948,0.0012883634917698,3.099937731215978e-05,-1.3013043687417466e-08,-8.344700921685899e-07
1669758565.281329,0.0005810738463095,0.000134923043356,1.9276630098763703e-08,0.0
1669758625.082229,-0.0032291358234151,-0.0001141398960691,-7.761839120092985e-09,0.0
1669758685.6580813,0.001916368179378,-2.018901317084952e-06,0.0,0.0
1669758745.1966565,0.0002606332876592,4.6275806880697496e-06,0.0,0.0
1669758804.9536974,-0.0013189937536036,-5.301257970946968e-05,0.0,-2.800411366462327e-07
1669758864.8336158,0.0020107306451015,0.0001368754894557,-3.067822910131266e-08,2.794664746168333e-07
1669758925.0072422,0.0003749895542433,0.0002539339011218,4.930852959806551e-08,-1.380885385791556e-06
1669758984.9858315,-0.0017755694291695,-0.0004771909288699,-1.884110979346125e-08,5.51447326508102e-07
1669759044.966852,0.0008505666260441,9.729153309515926e-05,2.7795359776685307e-10,1.6677553860642272e-06
1669759105.378466,0.0006264495083124,0.0001623319794181,-5.4820750556758915e-09,2.6810428711217454e-07
1669759165.051986,-0.0012259913436947,8.577640574990148e-07,5.2704962094297295e-09,-2.671013686484416e-07
1669759225.6491282,0.0011314255061544,-0.000112709134733,0.0,-8.296357428059977e-07
1669759284.9111154,-0.0014647096044216,0.0001242815401159,0.0,-1.138957635676523e-06
1669759345.0228462,-8.077081410004442e-05,-0.0001865309927617,5.2581762003576685e-09,1.1228572513789917e-06
1669759405.0711672,0.0012249278670345,3.316561483546805e-05,-5.2637287274472825e-09,1.3866545047082812e-06
1669759465.0728617,0.0005974969110557,0.0002027080920779,0.0,-1.3877320566164025e-06
1669759525.0216455,-0.0010036135007952,-0.0001028405960123,0.0,0.0
1669759585.1091864,-0.0002575619236665,-3.883335418259269e-05,2.10496428375584e-08,-1.3848449235236784e-06
1669759645.1426632,0.0010125187752044,0.0001914404831327,-4.160123631551556e-08,1.3860920661005305e-06
1669759705.0273263,0.0002165729656387,8.967399855626385e-05,4.484350616000555e-08,0.0
1669759765.6730027,-0.0016895437323819,-0.0004845701629065,-4.407560833163686e-08,0.0
1669759825.16415,0.0021130244487414,0.0003262265217765,2.0510655081885418e-08,0.0
1669759885.3730297,0.0002515369718722,0.000106384870135,-2.2068300754001316e-09,2.482683834825624e-06
1669759945.198167,0.0009519021699421,-3.21928882392128e-05,8.2396565647441e-10,-2.4986087608234144e-06
1669760005.1425805,-0.0040959921963334,-0.0004790138299159,-3.615037169897874e-09,2.782931844321824e-07
1669760064.8971298,-0.0006602652162585,-1.2169473587930733e-05,5.02519380204469e-09,-2.791774334469401e-07
1669760124.9565349,0.0017216453271331,0.000228925640442,0.0,0.0
1669760184.996266,-0.0006492954084817,-3.331740223355901e-05,0.0,-5.548205259880247e-07
1669760244.9546869,-0.0006079213768041,-0.0001169905155533,0.0,2.7740975282934133e-07
1669760305.9173684,0.0018093478113001,0.0003078844972737,2.7176482850462944e-08,2.735808855738615e-07
1669760364.9455185,0.0001040018215636,-0.0001352098571314,-2.4623140514054604e-08,0.0
1669760425.5474422,-0.0004219714452965,-0.0001238001866548,1.8517245688533406e-10,0.0
1669760485.13939,0.0010888808858817,0.000250338069098,-7.260459456666694e-09,0.0
1669760545.0868888,-0.0007314006034955,7.47329666671095e-05,3.639022190167081e-09,0.0
1669760604.986616,0.0003178343703279,-0.0001002218113961,0.0,-1.1148342526490973e-06
1669760664.9913695,-0.0018810465035551,-0.0003694589574019,0.0,1.1128829552222014e-06
1669760725.06683,0.0015921228842532,0.00033288173174,0.0,0.0
1669760785.0340824,0.0012377570543874,0.000239159887318,0.0,0.0
1669760845.7612784,-0.0011074024092423,-0.0001765695749387,0.0,1.3558247186174511e-06
1669760905.1250265,0.0003697164795751,3.558074386260355e-05,0.0,-1.3869648745472069e-06
1669760965.5320933,0.0010905898878967,-5.654322538352596e-05,0.0,0.0
