time,price,change_price,rsi,coin_allocation,cash_allocation,coin_balance,cash_balance,total_balance,profit,total_profit
1668397675.8686347,16175.99,18.670000000000073,56.36995616,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668397735.631169,16186.0,10.010000000000218,60.17363316,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668397795.9198184,16196.94,10.94000000000051,64.07342225,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668397855.9412644,16184.85,-12.090000000000146,58.70489555,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668397915.960069,16177.43,-7.420000000000073,54.56646435,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668397975.6930602,16147.79,-29.639999999999418,41.99004929,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398035.7856686,16151.44,3.649999999999636,43.1561566,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398095.883936,16150.2,-1.2399999999997817,42.61009029,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398155.8239503,16140.26,-9.94000000000051,38.62079912,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398216.1471689,16148.13,7.869999999998981,43.8722325,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398275.8411577,16147.96,-0.17000000000007276,43.93141108,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398335.918597,16129.52,-18.43999999999869,37.50127952,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398395.8661106,16144.7,15.180000000000291,44.11579596,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398455.7877665,16135.36,-9.340000000000146,39.92583206,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398515.7668583,16145.63,10.269999999998618,44.9742588,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398575.95481,16139.47,-6.1599999999998545,41.62917481,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398636.5688157,16140.72,1.25,42.75803766,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398695.813949,16123.7,-17.019999999998618,35.99177365,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398755.9051602,16127.9,4.199999999998909,38.52742995,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398815.692526,16127.44,-0.4599999999991269,38.5162522,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398875.9715323,16114.2,-13.239999999999782,33.30331013,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668398935.9385967,16111.98,-2.220000000001164,32.51033232,1.0,0.0,0.0620656182542431,0.0,1000.0,0.0,0.0
1668398995.8875227,16105.75,-6.229999999999563,30.32510239,1.0,0.0,0.0620656182542431,0.0,999.613331198276,-0.3866688017241131,0.0
1668399056.5201774,16093.44,-12.30999999999949,26.51796614,1.0,0.0,0.0620656182542431,0.0,998.8493034375662,-0.7640277607098369,0.0
1668399115.746863,16108.01,14.569999999999709,37.12371558,1.0,0.0,0.0620656182542431,0.0,999.7535994955304,0.9042960579643022,0.0
1668399175.910647,16102.37,-5.639999999999418,35.58364811,1.0,0.0,0.0620656182542431,0.0,999.4035494085764,-0.35005008695384277,0.0
1668399235.851236,16103.33,0.9599999999991269,35.85869796,1.0,0.0,0.0620656182542431,0.0,999.4631324021004,0.05958299352414542,0.0
