time,price,rsi,change_cash,change_coin,balance_USDT,balance_coin,profit,total_profit
1668051630.642118,16370.2,51.27938373,-0.2558767460000002,-1.5630642631122417e-05,967.3705675086233,0.0590933872224299,-0.1614102904263745,6.050456947046087
1668051641.1962967,16370.2,51.27938373,-0.2558767460000002,-1.5630642631122417e-05,967.114690762622,0.0590777565797987,-1.1368683772161605e-12,5.889046656619712
1668051650.7855043,16428.36,59.30085204,-1.8601704080000017,-0.000113229221176,968.6904826773016,0.0589645273586226,-1.2505552149377765e-12,5.889046656618575
1668051660.674156,16428.36,59.30085204,-1.8601704080000017,-0.000113229221176,966.8303122693012,0.0588512981374465,3.435962322679643,5.8890466566173245
1668051670.7029898,16428.36,59.30085204,-1.8601704080000017,-0.000113229221176,964.9701418613006,0.0587380689162704,-3.410605131648481e-13,9.325008979296967
1668051680.795114,16442.45,60.86193867,-2.172387734000001,-0.0001321206835964,963.6253735183302,0.0586059482326739,-5.684341886080801e-13,9.325008979296626
1668051690.73855,16442.45,60.86193867,-2.172387734000001,-0.0001321206835964,961.4529857843288,0.0584738275490774,0.827619391029657,9.325008979296058
1668051700.7523632,16442.45,60.86193867,-2.172387734000001,-0.0001321206835964,959.2805980503276,0.0583417068654809,-1.3642420526593924e-12,10.152628370325717
1668051710.7051778,16450.22,61.73361221,-2.346722442000001,-0.0001426559913484,957.3871906706712,0.0581990508741324,-1.1368683772161605e-12,10.15262837032435
1668051720.724147,16450.22,61.73361221,-2.346722442000001,-0.0001426559913484,955.0404682286704,0.0580563948827839,0.4533150623435631,10.152628370323214
1668051732.0218863,16413.79,56.14002015,-1.228004030000001,-7.481538572139652e-05,951.6974697330896,0.0579815794970625,-7.958078640513122e-13,10.605943432666775
1668051742.0071526,16413.79,56.14002015,-1.228004030000001,-7.481538572139652e-05,950.4694657030896,0.0579067641113411,-2.1149944655808213,10.60594343266598
1668051751.9447038,16413.79,56.14002015,-1.228004030000001,-7.481538572139652e-05,949.2414616730896,0.0578319487256197,-1.1368683772161605e-13,8.49094896708516
1668051761.9597876,16424.71,57.50837889,-1.501675778000001,-9.142784122215864e-05,948.371310775173,0.0577405208843975,0.0,8.490948967085046
1668051771.9470036,16424.71,57.50837889,-1.501675778000001,-9.142784122215864e-05,946.8696349971724,0.0576490930431753,0.6315248800834752,8.490948967085046
1668051782.0943022,16424.71,57.50837889,-1.501675778000001,-9.142784122215864e-05,945.3679592191716,0.0575576652019531,-5.684341886080801e-13,9.12247384716852
1668051792.018988,16432.28,58.4060125,-1.6812025000000013,-0.000102310969628,944.1224682447498,0.057455354232325,-7.958078640513122e-13,9.122473847167951
1668051802.1449733,16432.28,58.4060125,-1.6812025000000013,-0.000102310969628,942.4412657447492,0.0573530432626969,0.4357115255783128,9.122473847167155
1668051811.980764,16432.28,58.4060125,-1.6812025000000013,-0.000102310969628,940.7600632447488,0.0572507322930688,-5.684341886080801e-13,9.55818537274547
1668051822.015997,16478.58,63.45198136,-2.690396272000001,-0.0001632662688168,940.7203758779176,0.0570874660242519,-3.410605131648481e-13,9.558185372744902
1668051832.245213,16478.58,63.45198136,-2.690396272000001,-0.0001632662688168,938.029979605917,0.056924199755435,2.6507089051688126,9.55818537274456
1668051841.925884,16478.58,63.45198136,-2.690396272000001,-0.0001632662688168,935.3395833339162,0.0567609334866181,-5.684341886080801e-13,12.208894277913371
1668051852.0112383,16491.14,64.27488297,-2.854976594,-0.0001731218456698,933.1975240645072,0.0565878116409482,-7.958078640513122e-13,12.208894277912805
1668051861.9590886,16491.14,64.27488297,-2.854976594,-0.0001731218456698,930.3425474705064,0.0564146897952783,0.7129173245911034,12.208894277912009
1668051872.0327418,16491.14,64.27488297,-2.854976594,-0.0001731218456698,927.4875708765056,0.0562415679496084,-7.958078640513122e-13,12.921811602503112
1668051881.9650114,16491.14,64.27488297,-2.854976594,-0.0001731218456698,924.632594282505,0.0560684461039385,-6.821210263296962e-13,12.921811602502316
1668051891.9865022,16504.94,65.87612237,-3.175224474000002,-0.0001923802494283,922.2311143647388,0.0558760658545101,-5.684341886080801e-13,12.921811602501634
1668051901.9792497,16504.94,65.87612237,-3.175224474000002,-0.0001923802494283,919.0558898907378,0.0556836856050817,0.7737445562337371,12.921811602501066
1668051912.8136775,16504.94,65.87612237,-3.175224474000002,-0.0001923802494283,915.8806654167372,0.0554913053556533,-1.0231815394945445e-12,13.695556158734805
1668051922.8266313,16522.84,67.41189324,-3.482378648000001,-0.0002107615063754,913.3915811346026,0.0552805438492778,-6.821210263296962e-13,13.69555615873378
1668051932.8075106,16522.84,67.41189324,-3.482378648000001,-0.0002107615063754,909.9092024866012,0.0550697823429023,0.9932943658653812,13.695556158733098
1668051942.8301103,16516.1,66.20296942,-3.240593884000001,-0.0001962081777174,906.2974382696086,0.0548735741651848,-1.3642420526593924e-12,14.68885052459848
1668051952.8352118,16516.1,66.20296942,-3.240593884000001,-0.0001962081777174,903.0568443856084,0.0546773659874673,-0.3711703329926195,14.688850524597116
1668051962.8696358,16516.1,66.20296942,-3.240593884000001,-0.0001962081777174,899.8162505016087,0.0544811578097498,-2.273736754432321e-13,14.317680191604495
1668051972.9150229,16495.55,62.75689166,-2.5513783320000005,-0.0001546707040383,896.1452843766182,0.0543264871057114,2.273736754432321e-13,14.317680191604268
1668051982.876591,16495.55,62.75689166,-2.5513783320000005,-0.0001546707040383,893.5939060446176,0.054171816401673,-1.119587792990501,14.317680191604495
1668051993.0991008,16495.55,62.75689166,-2.5513783320000005,-0.0001546707040383,891.042527712617,0.0540171456976346,-5.684341886080801e-13,13.198092398613994
1668052002.8859322,16434.89,53.87929405,-0.7758588100000008,-4.720803181524189e-05,886.9899888445979,0.0539699376658193,-5.684341886080801e-13,13.198092398613426
1668052012.8591378,16434.89,53.87929405,-0.7758588100000008,-4.720803181524189e-05,886.2141300345968,0.053922729634004,-3.27668005801911,13.198092398612856
1668052023.061196,16434.89,53.87929405,-0.7758588100000008,-4.720803181524189e-05,885.4382712245958,0.0538755216021887,-1.0231815394945445e-12,9.921412340593749
1668052032.8765297,16434.78,53.85263134,-0.7705262680000011,-4.688388089162138e-05,884.6618186492186,0.053828637721297,-9.094947017729282e-13,9.921412340592724
1668052042.824504,16434.78,53.85263134,-0.7705262680000011,-4.688388089162138e-05,883.8912923812175,0.0537817538404053,-0.0059263073771944,9.921412340591814
1668052052.9039333,16434.78,53.85263134,-0.7705262680000011,-4.688388089162138e-05,883.1207661132162,0.0537348699595136,-1.1368683772161605e-12,9.91548603321462
1668052062.8963692,16434.78,53.85263134,-0.7705262680000011,-4.688388089162138e-05,882.3502398452148,0.0536879860786219,-1.2505552149377765e-12,9.915486033213485
1668052072.8730938,16439.01,54.36632264,-0.873264528,-5.3121479213164303e-05,881.7040754983261,0.0536348645994087,-1.3642420526593924e-12,9.915486033212233
1668052082.9553397,16439.01,54.36632264,-0.873264528,-5.3121479213164303e-05,880.8308109703255,0.0535817431201955,0.2271001811113819,9.915486033210868
1668052093.6034162,16443.81,54.89330804,-0.9786616080000012,-5.951550206430269e-05,880.1093417293021,0.0535222276181312,-5.684341886080801e-13,10.14258621432225
1668052103.750394,16443.81,54.89330804,-0.9786616080000012,-5.951550206430269e-05,879.130680121302,0.0534627121160668,0.2571923669765965,10.142586214321682
1668052113.6235824,16443.81,54.89330804,-0.9786616080000012,-5.951550206430269e-05,878.1520185133004,0.0534031966140024,0.0,10.399778581298278
1668052123.6551328,16443.81,54.89330804,-0.9786616080000012,-5.951550206430269e-05,877.1733569052988,0.053343681111938,-1.5916157281026244e-12,10.399778581298278
1668052133.6984048,16439.45,54.26511775,-0.8530235500000014,-5.188881319022238e-05,876.0877549056491,0.0532917922987477,-1.5916157281026244e-12,10.399778581296689
1668052143.7066398,16439.45,54.26511775,-0.8530235500000014,-5.188881319022238e-05,875.2347313556479,0.0532399034855574,-0.2325784496496226,10.399778581295095
1668052153.5757298,16420.72,51.72237983,-0.3444759660000009,-2.097812799925953e-05,873.8930719973621,0.0532189253575581,-1.2505552149377765e-12,10.167200131645473
1668052163.9418209,16420.72,51.72237983,-0.3444759660000009,-2.097812799925953e-05,873.5485960313615,0.0531979472295588,-0.9971833922858196,10.167200131644222
1668052173.7078242,16420.72,51.72237983,-0.3444759660000009,-2.097812799925953e-05,873.2041200653608,0.0531769691015595,-5.684341886080801e-13,9.170016739358402
1668052183.8686342,16420.72,51.72237983,-0.3444759660000009,-2.097812799925953e-05,872.8596440993601,0.0531559909735602,-6.821210263296962e-13,9.170016739357834
1668052193.6943955,16393.01,48.1292464,0.3741507199999994,2.282379623998274e-05,871.760842309482,0.0531788147698001,-6.821210263296962e-13,9.170016739357152
1668052203.7304797,16393.01,48.1292464,0.3741507199999994,2.282379623998274e-05,872.1349930294807,0.05320163856604,-1.472952509878155,9.17001673935647
1668052214.1412375,16384.62,47.12920903,0.5741581940000007,3.5042509011499855e-05,872.2627894759103,0.0532366810750515,-1.2505552149377765e-12,7.697064229478315
