Time,Price,Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668697688.0,16535.04,0.0,1.0,0.0,1000.0,0.0,1000.0
1668697748.7589684,16536.76,1.7199999999975262,1.0,0.0,1000.0,0.0,1000.0
1668697809.6728103,16533.41,-3.349999999998545,0.0,1.0,0.0,0.0604835904994795,1000.0
1668697869.6328757,16526.68,-6.729999999999563,0.0,1.0,0.0,0.0604835904994795,999.592945435938
1668697929.620129,16531.19,4.509999999998399,1.0,0.0,999.8657264290904,0.0,999.8657264290904
1668697990.4632185,16525.13,-6.059999999997672,0.0,1.0,0.0,0.0605057706916127,999.8657264290904
1668698050.3898284,16526.32,1.1899999999986903,1.0,0.0,999.9377282962128,0.0,999.9377282962128
1668698110.3749888,16531.24,4.920000000001892,1.0,0.0,999.9377282962128,0.0,999.9377282962128
1668698171.4024594,16531.74,0.5,1.0,0.0,999.9377282962128,0.0,999.9377282962128
1668698231.4640205,16546.67,14.929999999996651,1.0,0.0,999.9377282962128,0.0,999.9377282962128
1668698291.5101523,16600.51,53.84000000000015,1.0,0.0,999.9377282962128,0.0,999.9377282962128
1668698352.2459967,16598.77,-1.7399999999979627,0.0,1.0,0.0,0.0602416762384328,999.9377282962128
1668698412.2475765,16601.31,2.540000000000873,1.0,0.0,1000.0907421538568,0.0,1000.0907421538568
1668698472.2855911,16659.74,58.43000000000029,1.0,0.0,1000.0907421538568,0.0,1000.0907421538568
1668698533.1316254,16674.01,14.2699999999968,1.0,0.0,1000.0907421538568,0.0,1000.0907421538568
1668698593.1691065,16691.72,17.710000000002765,1.0,0.0,1000.0907421538568,0.0,1000.0907421538568
1668698653.178043,16689.18,-2.540000000000873,0.0,1.0,0.0,0.0599244985166351,1000.0907421538568
1668698714.2622163,16697.75,8.569999999999709,1.0,0.0,1000.6042951061438,0.0,1000.6042951061438
1668698774.2807708,16693.63,-4.119999999998981,0.0,1.0,0.0,0.0599392879263613,1000.6042951061438
1668698834.2908375,16665.31,-28.31999999999971,0.0,1.0,0.0,0.0599392879263613,998.9068144720684
1668698895.393688,16672.15,6.8400000000001455,1.0,0.0,999.3167992014846,0.0,999.3167992014846
1668698955.217032,16673.46,1.3099999999976717,1.0,0.0,999.3167992014846,0.0,999.3167992014846
1668699015.220737,16674.11,0.6500000000014552,1.0,0.0,999.3167992014846,0.0,999.3167992014846
1668699076.0931952,16642.78,-31.330000000001743,0.0,1.0,0.0,0.0600450645385857,999.3167992014846
1668699136.0688567,16641.63,-1.1499999999978172,0.0,1.0,0.0,0.0600450645385857,999.247747377264
1668699196.072049,16640.73,-0.9000000000014552,0.0,1.0,0.0,0.0600450645385857,999.1937068191792
1668699257.6923566,16646.59,5.860000000000582,1.0,0.0,999.5455708973752,0.0,999.5455708973752
1668699317.6610217,16631.4,-15.18999999999869,0.0,1.0,0.0,0.0600999056542068,999.5455708973752
1668699377.6254857,16623.28,-8.12000000000262,0.0,1.0,0.0,0.0600999056542068,999.0575596634628
1668699438.7415783,16627.48,4.200000000000728,1.0,0.0,999.3099792672105,0.0,999.3099792672105
1668699498.7240102,16636.81,9.330000000001746,1.0,0.0,999.3099792672105,0.0,999.3099792672105
1668699558.6661656,16646.85,10.039999999997235,1.0,0.0,999.3099792672105,0.0,999.3099792672105
1668699619.4840934,16645.71,-1.139999999999418,0.0,1.0,0.0,0.0600340856152852,999.3099792672105
